               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.070563,0.060708,0,0.39233,0.47113,0.35532,0.089142,0.0684,0.028294,0,0.00169,0.00169,0.08479
1,0.052596,0.035664,0,0.73168,0.73885,0.77673,0.35673,0.046511,0.022063,0,0.0033899,0.0033899,0.06949
2,0.041481,0.030409,0,0.82674,0.80153,0.86483,0.35964,0.043577,0.019079,0,0.0050895,0.0050895,0.054189
3,0.037302,0.027978,0,0.8918,0.90551,0.93736,0.40664,0.039433,0.017189,0,0.0067885,0.0067885,0.038888
4,0.033198,0.026185,0,0.89288,0.87533,0.94681,0.51649,0.037663,0.016788,0,0.0084866,0.0084866,0.023587
5,0.033281,0.026068,0,0.92904,0.93045,0.96528,0.52987,0.034839,0.016514,0,0.0099938,0.0099938,0.0099938
6,0.029001,0.02462,0,0.91614,0.96053,0.97139,0.57718,0.029423,0.015253,0,0.0099938,0.0099938,0.0099938
7,0.025617,0.023873,0,0.95942,0.96189,0.9783,0.61215,0.029125,0.015043,0,0.0099911,0.0099911,0.0099911
8,0.024545,0.023677,0,0.95084,0.96447,0.98095,0.62127,0.028621,0.014816,0,0.0099879,0.0099879,0.0099879
9,0.023263,0.022776,0,0.97847,0.95406,0.98492,0.66308,0.027698,0.014573,0,0.0099842,0.0099842,0.0099842
10,0.02239,0.022177,0,0.97228,0.9252,0.97828,0.63776,0.026671,0.01536,0,0.00998,0.00998,0.00998
11,0.022324,0.021959,0,0.96697,0.96061,0.98202,0.6339,0.02574,0.014374,0,0.0099753,0.0099753,0.0099753
12,0.021875,0.021463,0,0.97088,0.96325,0.98479,0.66136,0.02617,0.014414,0,0.0099702,0.0099702,0.0099702
13,0.021279,0.021274,0,0.97101,0.96712,0.98276,0.65368,0.025556,0.014223,0,0.0099645,0.0099645,0.0099645
14,0.020937,0.021357,0,0.98652,0.96588,0.98757,0.66198,0.024738,0.014103,0,0.0099584,0.0099584,0.0099584
15,0.020468,0.021149,0,0.97625,0.97099,0.98484,0.69083,0.024286,0.013792,0,0.0099517,0.0099517,0.0099517
16,0.020074,0.021546,0,0.96199,0.96319,0.98355,0.67439,0.026131,0.014208,0,0.0099446,0.0099446,0.0099446
17,0.019509,0.021303,0,0.97877,0.96982,0.98598,0.68155,0.025544,0.013914,0,0.009937,0.009937,0.009937
18,0.019314,0.02059,0,0.97473,0.96457,0.98563,0.66767,0.024733,0.013941,0,0.0099289,0.0099289,0.0099289
19,0.019037,0.020376,0,0.98135,0.96719,0.98545,0.68315,0.024667,0.013571,0,0.0099203,0.0099203,0.0099203
20,0.019009,0.020879,0,0.98267,0.96717,0.98464,0.68388,0.024367,0.01397,0,0.0099112,0.0099112,0.0099112
21,0.018968,0.020568,0,0.97895,0.979,0.98762,0.70128,0.023742,0.013456,0,0.0099017,0.0099017,0.0099017
22,0.01871,0.020165,0,0.98006,0.9685,0.98574,0.68156,0.023899,0.013759,0,0.0098916,0.0098916,0.0098916
23,0.018866,0.019994,0,0.97502,0.97375,0.98788,0.68868,0.023651,0.013386,0,0.0098811,0.0098811,0.0098811
24,0.018118,0.020112,0,0.98013,0.97109,0.98535,0.70245,0.02379,0.013489,0,0.0098701,0.0098701,0.0098701
25,0.017916,0.019661,0,0.97372,0.97375,0.986,0.66914,0.025277,0.01388,0,0.0098586,0.0098586,0.0098586
26,0.018437,0.020617,0,0.97992,0.96053,0.98575,0.7075,0.023065,0.013378,0,0.0098467,0.0098467,0.0098467
27,0.017969,0.020169,0,0.98387,0.96054,0.987,0.68549,0.024247,0.013477,0,0.0098342,0.0098342,0.0098342
28,0.017755,0.019885,0,0.9802,0.97507,0.9858,0.69723,0.023321,0.013527,0,0.0098213,0.0098213,0.0098213
29,0.018138,0.019781,0,0.97503,0.97375,0.98478,0.69543,0.023528,0.013547,0,0.0098079,0.0098079,0.0098079
30,0.017439,0.020314,0,0.98404,0.97113,0.98885,0.69223,0.023659,0.013523,0,0.0097941,0.0097941,0.0097941
31,0.017156,0.019467,0,0.98924,0.97244,0.98676,0.69112,0.023334,0.013433,0,0.0097798,0.0097798,0.0097798
32,0.017467,0.019244,0,0.98674,0.97769,0.9862,0.71224,0.023483,0.013379,0,0.009765,0.009765,0.009765
33,0.017726,0.019929,0,0.98003,0.96719,0.9845,0.7143,0.022395,0.013471,0,0.0097497,0.0097497,0.0097497
34,0.017476,0.019578,0,0.9773,0.96325,0.98807,0.70169,0.023609,0.013535,0,0.009734,0.009734,0.009734
35,0.017209,0.019457,0,0.97632,0.97373,0.98619,0.70052,0.023818,0.013501,0,0.0097178,0.0097178,0.0097178
36,0.017082,0.019801,0,0.98013,0.97244,0.98562,0.70846,0.023225,0.01322,0,0.0097011,0.0097011,0.0097011
37,0.017279,0.019353,0,0.97754,0.97375,0.98574,0.68726,0.024339,0.013689,0,0.009684,0.009684,0.009684
38,0.016714,0.019425,0,0.98668,0.9724,0.98577,0.70775,0.022989,0.013637,0,0.0096664,0.0096664,0.0096664
39,0.017358,0.019351,0,0.98255,0.96588,0.98426,0.70841,0.023077,0.013418,0,0.0096484,0.0096484,0.0096484
40,0.016787,0.019367,0,0.99067,0.97501,0.98595,0.71487,0.023398,0.013572,0,0.0096299,0.0096299,0.0096299
41,0.016413,0.01867,0,0.99064,0.97235,0.98902,0.71261,0.022274,0.013278,0,0.009611,0.009611,0.009611
42,0.016789,0.019424,0,0.97507,0.97769,0.98977,0.71303,0.021646,0.013098,0,0.0095916,0.0095916,0.0095916
43,0.016557,0.0191,0,0.98267,0.97113,0.98556,0.70347,0.023524,0.013459,0,0.0095717,0.0095717,0.0095717
44,0.016688,0.019291,0,0.99051,0.96719,0.98714,0.70857,0.022795,0.013572,0,0.0095514,0.0095514,0.0095514
45,0.01679,0.019127,0,0.98409,0.97507,0.98641,0.69847,0.023591,0.013349,0,0.0095307,0.0095307,0.0095307
46,0.016651,0.019594,0,0.9801,0.97113,0.98471,0.72214,0.022241,0.013364,0,0.0095095,0.0095095,0.0095095
47,0.016522,0.019019,0,0.98533,0.96976,0.98777,0.70905,0.023353,0.013289,0,0.0094879,0.0094879,0.0094879
48,0.016299,0.019236,0,0.9712,0.97372,0.98918,0.69251,0.023837,0.013583,0,0.0094659,0.0094659,0.0094659
49,0.016144,0.019006,0,0.98261,0.97638,0.98715,0.71478,0.022863,0.013185,0,0.0094434,0.0094434,0.0094434
50,0.015975,0.018703,0,0.98932,0.97638,0.98567,0.70499,0.02244,0.013521,0,0.0094205,0.0094205,0.0094205
51,0.016389,0.018764,0,0.98531,0.97507,0.98799,0.70158,0.023329,0.01346,0,0.0093971,0.0093971,0.0093971
52,0.016016,0.018635,0,0.97889,0.97375,0.9857,0.71616,0.022546,0.013302,0,0.0093733,0.0093733,0.0093733
53,0.015693,0.018543,0,0.9815,0.97507,0.98671,0.71412,0.02225,0.013315,0,0.0093491,0.0093491,0.0093491
54,0.015987,0.018619,0,0.98789,0.96321,0.98642,0.70901,0.022394,0.01314,0,0.0093245,0.0093245,0.0093245
55,0.015868,0.018999,0,0.98146,0.97507,0.98593,0.72295,0.021927,0.013192,0,0.0092995,0.0092995,0.0092995
56,0.016191,0.018472,0,0.99197,0.97243,0.98651,0.72183,0.021915,0.013241,0,0.009274,0.009274,0.009274
57,0.015825,0.018572,0,0.98797,0.96974,0.98576,0.71958,0.022036,0.01335,0,0.0092481,0.0092481,0.0092481
58,0.015918,0.018743,0,0.98029,0.98031,0.986,0.71869,0.022324,0.013371,0,0.0092219,0.0092219,0.0092219
59,0.015953,0.018699,0,0.98926,0.97507,0.98578,0.71572,0.021597,0.013191,0,0.0091952,0.0091952,0.0091952
60,0.015533,0.018879,0,0.98674,0.97637,0.98649,0.7131,0.021957,0.013199,0,0.0091681,0.0091681,0.0091681
61,0.01582,0.01895,0,0.99059,0.97244,0.98645,0.7156,0.02197,0.013099,0,0.0091406,0.0091406,0.0091406
62,0.015601,0.018436,0,0.98153,0.97631,0.98813,0.72805,0.022064,0.013066,0,0.0091127,0.0091127,0.0091127
63,0.015656,0.018233,0,0.98795,0.96848,0.98652,0.72681,0.021786,0.013274,0,0.0090844,0.0090844,0.0090844
64,0.015744,0.01833,0,0.98663,0.97244,0.98697,0.71218,0.022097,0.013323,0,0.0090557,0.0090557,0.0090557
65,0.015282,0.018268,0,0.98936,0.97637,0.98637,0.73105,0.021806,0.013008,0,0.0090266,0.0090266,0.0090266
66,0.015666,0.018191,0,0.98923,0.96427,0.98616,0.71985,0.021937,0.01332,0,0.0089972,0.0089972,0.0089972
67,0.01559,0.018632,0,0.98806,0.97769,0.98622,0.72944,0.021185,0.01319,0,0.0089673,0.0089673,0.0089673
